dataset,year,treatment,tiller,N,Nmax,lmax,wmax,w(0),w(0.02),w(0.04),w(0.06),w(0.08),w(0.1),w(0.12),w(0.14),w(0.16),w(0.18),w(0.2),w(0.22),w(0.24),w(0.26),w(0.28),w(0.3),w(0.32),w(0.34),w(0.36),w(0.38),w(0.4),w(0.42),w(0.44),w(0.46),w(0.48),w(0.5),w(0.52),w(0.54),w(0.56),w(0.58),w(0.6),w(0.62),w(0.64),w(0.66),w(0.68),w(0.7),w(0.72),w(0.74),w(0.76),w(0.78),w(0.8),w(0.82),w(0.84),w(0.86),w(0.88),w(0.9),w(0.92),w(0.94),w(0.96),w(0.98),w(1)
Wheat II,2007/8,1,0,5,10,12.9369,0.72398,0.035045,0.14129,0.19496,0.26324,0.32183,0.37148,0.42075,0.47297,0.49868,0.53489,0.58789,0.61577,0.63092,0.66522,0.68629,0.72134,0.73412,0.7595,0.77849,0.80978,0.84095,0.86171,0.89195,0.92641,0.95577,0.96403,0.96256,0.9589,0.9475,0.96539,0.97081,0.94944,0.96369,0.96441,0.97271,0.98227,0.95947,0.95728,0.96844,0.94483,0.94539,0.93866,0.95347,0.94274,0.94204,0.91697,0.90744,0.89231,0.89132,0.86297,0.70187
Wheat II,2007/8,1,0,6,10,16.8381,1.0418,-0.03714,0.10647,0.16595,0.23557,0.27802,0.31978,0.36492,0.40092,0.43885,0.48067,0.52438,0.56627,0.60223,0.6384,0.65817,0.67576,0.69495,0.71464,0.74737,0.79327,0.83056,0.8589,0.874,0.90967,0.92725,0.94697,0.9502,0.96184,0.97689,0.98559,0.98878,0.98465,0.98581,0.98268,0.97484,0.9766,0.96191,0.95378,0.94759,0.94296,0.94259,0.95193,0.96246,0.93454,0.93744,0.91735,0.88583,0.86342,0.84394,0.80235,0.70355
Wheat II,2007/8,1,0,7,10,21.301,1.3447,0.0035235,0.080027,0.14565,0.19468,0.25067,0.30256,0.34259,0.38937,0.43059,0.47044,0.51983,0.55945,0.59733,0.62404,0.64486,0.66741,0.67407,0.69094,0.72401,0.7662,0.79151,0.82638,0.84871,0.88062,0.89593,0.91046,0.9292,0.93528,0.94793,0.95977,0.96747,0.97638,0.98593,0.99047,0.99039,0.9856,0.9777,0.9731,0.97194,0.96759,0.95776,0.95126,0.94187,0.93144,0.91876,0.89366,0.87568,0.85937,0.82587,0.7762,0.61862
Wheat II,2007/8,1,0,8,10,26.3783,1.4355,-0.012715,0.091483,0.17395,0.24998,0.30829,0.35862,0.39549,0.44141,0.48698,0.53087,0.56727,0.59658,0.62754,0.64372,0.67411,0.69523,0.72193,0.73862,0.77195,0.81743,0.84895,0.88115,0.90732,0.92625,0.93515,0.94125,0.95214,0.95566,0.96699,0.97248,0.9755,0.97424,0.96954,0.97131,0.97966,0.97996,0.98724,0.98355,0.97406,0.97365,0.95908,0.95425,0.9474,0.92967,0.91608,0.90016,0.88053,0.85308,0.8306,0.77896,0.62605
Wheat II,2007/8,1,0,9,10,31.5446,1.5273,0.0045592,0.10784,0.19651,0.26955,0.32778,0.37794,0.42363,0.45681,0.49055,0.51874,0.54081,0.57181,0.60133,0.62545,0.65624,0.70927,0.7674,0.8057,0.83987,0.87037,0.89175,0.90721,0.92082,0.93163,0.93994,0.94626,0.95217,0.95851,0.96564,0.973,0.97798,0.9839,0.98889,0.98955,0.98197,0.96347,0.95655,0.94975,0.94149,0.93946,0.93497,0.93015,0.94228,0.93924,0.9181,0.89757,0.8805,0.85463,0.83471,0.79491,0.58963
Wheat II,2007/8,1,0,10,10,26.0343,1.7678,-0.00039924,0.080006,0.14778,0.22188,0.27568,0.31228,0.35276,0.38647,0.41529,0.44571,0.47638,0.51599,0.56563,0.60912,0.64606,0.68817,0.71273,0.74622,0.77121,0.79608,0.81599,0.8363,0.85628,0.87631,0.8844,0.89819,0.91445,0.93117,0.9461,0.96553,0.97525,0.98231,0.98386,0.98594,0.97994,0.98776,0.98952,0.97963,0.97369,0.96427,0.95922,0.94666,0.94274,0.93388,0.91711,0.89834,0.87104,0.84092,0.79927,0.73456,0.50806
Wheat II,2007/8,2,0,2,10,8.1546,0.2655,-0.067729,0.33272,0.38866,0.45819,0.57885,0.64985,0.62064,0.63624,0.65337,0.65423,0.70122,0.66554,0.67155,0.69776,0.68473,0.73361,0.76736,0.84334,0.83274,0.82506,0.88545,0.87677,0.87643,0.96275,0.94509,0.957,0.93311,0.9229,0.93703,0.9639,0.96117,0.95918,0.9337,0.93847,0.97301,0.96922,0.88461,0.92085,0.881,0.87491,0.86199,0.91544,0.93082,0.89154,0.88157,0.86019,0.90014,0.89651,0.90339,0.85999,0.782
Wheat II,2007/8,2,0,3,10,10.9237,0.39934,0.07341,0.1327,0.18768,0.27982,0.32805,0.37429,0.41005,0.43629,0.45209,0.49287,0.54563,0.56508,0.64249,0.65938,0.67116,0.69891,0.75344,0.7525,0.76458,0.79262,0.80831,0.82221,0.84823,0.8766,0.87105,0.8945,0.88716,0.91748,0.88608,0.93346,0.9495,0.94019,0.94859,0.96424,0.96984,0.96085,0.96758,0.9662,0.93741,0.93075,0.93333,0.90788,0.88769,0.88056,0.88601,0.92065,0.93311,0.94629,0.9254,0.90633,0.63717
Wheat II,2007/8,2,0,4,10,11.333,0.57719,0.031056,0.13201,0.16445,0.23034,0.29911,0.33236,0.39136,0.41768,0.44969,0.48968,0.51899,0.56644,0.59586,0.64501,0.69728,0.74193,0.79753,0.80879,0.84477,0.8677,0.89363,0.90689,0.91274,0.93111,0.94318,0.94265,0.93891,0.95602,0.96457,0.95927,0.95645,0.94163,0.93052,0.963,0.9412,0.95828,0.95639,0.94372,0.95165,0.98275,0.95641,0.96059,0.96628,0.95505,0.94739,0.94281,0.95006,0.94707,0.9411,0.89385,0.80351
Wheat II,2007/8,2,0,5,10,13.1049,0.71462,0.042517,0.13249,0.21318,0.28307,0.33328,0.36884,0.41747,0.46662,0.49903,0.53864,0.5682,0.59558,0.63176,0.65989,0.68746,0.70836,0.73474,0.74399,0.76598,0.81188,0.86415,0.87878,0.91299,0.91968,0.92634,0.94504,0.94205,0.96203,0.96885,0.96865,0.97086,0.9756,0.97969,0.98267,0.96746,0.97342,0.96871,0.95221,0.95471,0.94972,0.94463,0.92649,0.92751,0.93595,0.91585,0.90472,0.91301,0.91597,0.90027,0.8678,0.76739
Wheat II,2007/8,2,0,6,10,16.972,0.96637,0.024275,0.077063,0.12341,0.17879,0.23502,0.28873,0.32716,0.36971,0.42409,0.46657,0.50809,0.5488,0.57993,0.60669,0.63567,0.66605,0.68894,0.72142,0.77549,0.80834,0.83466,0.85436,0.88823,0.90772,0.93506,0.94999,0.96123,0.96351,0.98268,0.98793,0.98739,0.984,0.97751,0.96389,0.97078,0.97062,0.96722,0.96167,0.95993,0.9676,0.95194,0.94291,0.93355,0.94065,0.94878,0.9325,0.92765,0.90786,0.88611,0.84819,0.73268
Wheat II,2007/8,2,0,7,10,22.7765,1.2379,-0.0048889,0.071328,0.13568,0.20772,0.26157,0.30297,0.33494,0.38353,0.42012,0.46547,0.50486,0.5522,0.58355,0.62544,0.65437,0.67772,0.69775,0.7186,0.74504,0.76984,0.8007,0.82451,0.85719,0.87524,0.895,0.91462,0.92299,0.93942,0.94985,0.95706,0.96696,0.96974,0.97593,0.98345,0.98692,0.98626,0.9763,0.96496,0.9536,0.95358,0.94908,0.94654,0.92895,0.91935,0.90083,0.87556,0.86358,0.8396,0.81204,0.76549,0.61545
Wheat II,2007/8,2,0,8,10,26.3193,1.2994,-0.0027649,0.09444,0.18144,0.24914,0.30927,0.35657,0.4025,0.45168,0.49964,0.54337,0.57681,0.6003,0.62819,0.65164,0.66793,0.69113,0.71044,0.72464,0.75803,0.79335,0.82899,0.86897,0.88943,0.91468,0.92689,0.93433,0.95186,0.96217,0.96816,0.97634,0.98018,0.9807,0.98098,0.97633,0.9693,0.96777,0.96743,0.96773,0.96467,0.9628,0.95596,0.95616,0.94636,0.92868,0.90467,0.88053,0.86187,0.84669,0.82134,0.77664,0.60137
Wheat II,2007/8,2,0,9,10,29.4517,1.4613,-0.0033501,0.10562,0.19476,0.27568,0.33618,0.38629,0.43595,0.47622,0.50516,0.52145,0.55105,0.57872,0.6056,0.63281,0.67866,0.72535,0.77895,0.81912,0.84982,0.87411,0.89733,0.91643,0.93387,0.93962,0.94716,0.9525,0.95804,0.96525,0.97187,0.97772,0.98521,0.9886,0.98925,0.98924,0.98095,0.96376,0.949,0.93081,0.92645,0.9258,0.91944,0.92351,0.92995,0.92787,0.9101,0.88996,0.86559,0.8501,0.82599,0.78628,0.55728
Wheat II,2007/8,2,0,10,10,24.7934,1.7053,0.0012381,0.059554,0.11317,0.18328,0.24838,0.30574,0.34636,0.38149,0.41071,0.44931,0.49456,0.5495,0.58973,0.63661,0.67025,0.69962,0.73626,0.7622,0.79132,0.81853,0.84143,0.85415,0.88105,0.89491,0.91005,0.92529,0.93415,0.94899,0.95604,0.96581,0.97985,0.98575,0.98714,0.9892,0.98828,0.98619,0.97985,0.97636,0.96921,0.95767,0.94839,0.94471,0.93665,0.92334,0.90683,0.89357,0.87445,0.84327,0.80612,0.744,0.52592
Wheat II,2007/8,3,0,2,10,8.8015,0.29503,-0.091458,0.27559,0.31244,0.37628,0.41975,0.44294,0.4814,0.49225,0.54759,0.61229,0.69779,0.70499,0.75002,0.75716,0.77463,0.80434,0.74558,0.72373,0.7604,0.76894,0.76887,0.76211,0.81082,0.79668,0.7963,0.86044,0.82534,0.86988,0.90575,0.91215,0.9438,0.97563,0.89835,0.94792,0.91292,0.88903,0.97209,0.97432,0.92239,0.9175,0.89648,0.9304,0.93979,0.94779,0.92231,0.93767,0.97044,0.94423,0.9258,0.86754,0.69409
Wheat II,2007/8,3,0,3,10,11.1117,0.39265,0.12743,0.15247,0.20998,0.28097,0.33388,0.38286,0.38734,0.44124,0.47347,0.5116,0.55251,0.6094,0.63478,0.66521,0.722,0.75162,0.78304,0.82308,0.84817,0.86448,0.89665,0.87762,0.90591,0.89304,0.91941,0.89716,0.94402,0.94704,0.95505,0.95879,0.9735,0.98301,0.98173,0.97174,0.98685,0.98303,0.97516,0.96302,0.95325,0.97692,0.94517,0.95557,0.96338,0.94625,0.95774,0.97931,0.97479,0.95327,0.95689,0.91829,0.73
Wheat II,2007/8,3,0,4,10,12.456,0.58231,-0.015798,0.13295,0.16627,0.23895,0.30382,0.35107,0.39651,0.44434,0.46962,0.51557,0.54903,0.58568,0.63957,0.66338,0.69566,0.71359,0.74716,0.7983,0.84252,0.86853,0.86617,0.89975,0.91776,0.94496,0.9585,0.97034,0.96986,0.97713,0.97824,0.96893,0.9761,0.97601,0.97959,0.96353,0.94464,0.94666,0.93192,0.93898,0.93895,0.93728,0.95524,0.9369,0.97038,0.95388,0.95108,0.93123,0.9359,0.9128,0.89141,0.89143,0.77731
Wheat II,2007/8,3,0,5,10,14.7777,0.73567,0.026294,0.09094,0.15315,0.20271,0.29565,0.32259,0.37916,0.43473,0.45391,0.49654,0.51678,0.5633,0.61252,0.6194,0.64643,0.67046,0.71233,0.71492,0.74653,0.80084,0.83644,0.86745,0.88799,0.91052,0.91685,0.92448,0.94372,0.96276,0.95139,0.96694,0.97601,0.96976,0.98054,0.98101,0.9636,0.945,0.92482,0.93561,0.92675,0.91493,0.91915,0.90675,0.89657,0.88649,0.89872,0.87221,0.87618,0.86543,0.83889,0.81518,0.74403
Wheat II,2007/8,3,0,6,10,20.4032,1.0623,-0.0011862,0.095803,0.15202,0.21418,0.26322,0.30436,0.36247,0.40934,0.4524,0.50038,0.54401,0.59031,0.61358,0.64627,0.66665,0.69134,0.74035,0.79852,0.83242,0.85362,0.87797,0.88821,0.90695,0.91469,0.92916,0.93543,0.95239,0.9629,0.97979,0.97816,0.98044,0.98992,0.9884,0.9882,0.98488,0.96281,0.97258,0.96285,0.95384,0.93241,0.92059,0.92346,0.92047,0.90284,0.89716,0.89736,0.87528,0.85444,0.83228,0.80019,0.70493
Wheat II,2007/8,3,0,7,10,24.6785,1.2528,-0.0060806,0.1021,0.16975,0.24066,0.29649,0.34756,0.42027,0.47426,0.50356,0.5436,0.58519,0.60983,0.63178,0.65129,0.68157,0.70182,0.72277,0.72757,0.75596,0.80815,0.83888,0.86584,0.88192,0.89763,0.90099,0.91202,0.93686,0.95447,0.95152,0.9556,0.962,0.97943,0.97795,0.98953,0.99134,0.98537,0.98073,0.96987,0.96526,0.94829,0.95189,0.94791,0.92114,0.90089,0.88654,0.86351,0.84255,0.83042,0.78632,0.73279,0.61424
Wheat II,2007/8,3,0,8,10,26.3143,1.2627,0.010099,0.092782,0.17939,0.25366,0.31865,0.38086,0.43035,0.47709,0.52029,0.55293,0.58276,0.61148,0.63286,0.65328,0.67376,0.6926,0.71041,0.73715,0.76286,0.79762,0.84998,0.8862,0.91596,0.93269,0.94822,0.9611,0.96924,0.97623,0.97824,0.98646,0.98608,0.98241,0.97532,0.96567,0.94951,0.94786,0.94946,0.95127,0.94889,0.95434,0.95664,0.95298,0.94981,0.93656,0.91415,0.8874,0.86269,0.83772,0.80224,0.76369,0.5745
Wheat II,2007/8,3,0,9,10,26.7494,1.332,-0.011564,0.10011,0.18187,0.26104,0.33011,0.3895,0.4415,0.47138,0.50835,0.53159,0.55792,0.57159,0.6033,0.63215,0.66918,0.73255,0.77968,0.81737,0.85091,0.87754,0.90354,0.91872,0.93613,0.94409,0.95345,0.96319,0.9699,0.97022,0.97623,0.98284,0.98619,0.98778,0.98994,0.98266,0.97665,0.97056,0.95933,0.9503,0.93804,0.91959,0.91814,0.92829,0.9228,0.92098,0.90517,0.88995,0.87809,0.85812,0.82406,0.76255,0.57543
Wheat II,2007/8,3,0,10,10,21.6868,1.594,-0.00385,0.063795,0.12076,0.18431,0.2497,0.29932,0.34029,0.38601,0.42535,0.47092,0.51754,0.55935,0.60566,0.64386,0.67512,0.70237,0.7453,0.77009,0.79208,0.81674,0.83133,0.8544,0.87166,0.88947,0.90083,0.92119,0.93698,0.9476,0.96041,0.97415,0.98348,0.98187,0.98871,0.98988,0.99129,0.98793,0.98665,0.98458,0.97364,0.96591,0.95255,0.95003,0.9434,0.92995,0.9242,0.91376,0.89351,0.87098,0.82312,0.73847,0.52663
Wheat II,2008/9,1,0,1,10,6.9671,0.28278,0.030172,0.36166,0.56349,0.65929,0.75583,0.78576,0.8438,0.89753,0.91785,0.95364,0.9758,0.96514,0.97536,0.97463,0.96221,0.9629,0.97162,0.97223,0.97707,0.96749,0.95958,0.96315,0.97297,0.96624,0.96704,0.95975,0.96164,0.9455,0.94662,0.94187,0.93991,0.91058,0.94438,0.93836,0.94828,0.94048,0.92695,0.94474,0.92039,0.92816,0.91304,0.9066,0.90132,0.89766,0.88407,0.87941,0.88799,0.85847,0.83086,0.78979,0.65056
Wheat II,2008/9,1,0,1,11,5.9477,0.29596,-0.068081,0.31657,0.45306,0.56701,0.62332,0.64841,0.67856,0.70528,0.73078,0.76045,0.78518,0.80845,0.83449,0.87052,0.89488,0.8894,0.89243,0.92307,0.93706,0.93916,0.94638,0.92497,0.92488,0.92538,0.93733,0.95026,0.95368,0.98456,0.98305,0.98623,0.97226,0.95609,0.97715,0.95023,0.95313,0.95556,0.94693,0.95991,0.94305,0.9259,0.93622,0.91808,0.90872,0.89477,0.89705,0.85819,0.87794,0.86377,0.87615,0.89546,0.40222
Wheat II,2008/9,1,0,2,10,7.9397,0.26106,-0.0033763,0.13447,0.19713,0.30418,0.40782,0.46248,0.51154,0.55473,0.58887,0.61969,0.63812,0.66643,0.68731,0.70263,0.70784,0.72293,0.73765,0.75709,0.78859,0.80176,0.82359,0.84851,0.873,0.89998,0.90875,0.92537,0.9336,0.93381,0.95566,0.94915,0.95148,0.95722,0.96342,0.95646,0.96383,0.95464,0.96411,0.9656,0.95368,0.95506,0.94786,0.94269,0.93237,0.93673,0.93158,0.92355,0.89067,0.86966,0.84219,0.81884,0.60463
Wheat II,2008/9,1,0,2,11,7.7017,0.2679,0.041224,0.16757,0.24751,0.35216,0.42959,0.4921,0.54164,0.58745,0.62425,0.64843,0.67089,0.69166,0.71416,0.71233,0.74226,0.72235,0.74356,0.75446,0.75392,0.77882,0.79088,0.8112,0.83241,0.84908,0.86905,0.87427,0.879,0.89044,0.90901,0.90649,0.93086,0.95362,0.96224,0.95925,0.95758,0.96056,0.94838,0.94548,0.96504,0.9504,0.96486,0.93136,0.94381,0.95077,0.95579,0.93825,0.90859,0.90851,0.87455,0.84357,0.56759
Wheat II,2008/9,1,0,3,10,10.7117,0.39148,0.017498,0.12461,0.19335,0.25687,0.31177,0.35071,0.40803,0.44189,0.45281,0.50883,0.55348,0.59946,0.63835,0.66442,0.6802,0.6964,0.69703,0.72819,0.74722,0.76218,0.79558,0.8166,0.83928,0.85269,0.86223,0.88583,0.89937,0.90304,0.91062,0.89807,0.92977,0.94829,0.94994,0.9603,0.97578,0.9878,0.97243,0.97833,0.96416,0.97655,0.97034,0.96158,0.96839,0.97039,0.97001,0.96681,0.94237,0.94797,0.92122,0.85354,0.45492
Wheat II,2008/9,1,0,3,11,9.5447,0.37211,0.06661,0.11322,0.18537,0.25654,0.31605,0.35814,0.40141,0.43226,0.46732,0.50414,0.53574,0.55358,0.56878,0.5976,0.6519,0.69708,0.72909,0.75371,0.7749,0.78843,0.79934,0.82683,0.84134,0.85817,0.86483,0.87403,0.89129,0.89861,0.918,0.90552,0.9064,0.92456,0.93612,0.94481,0.95321,0.96177,0.96744,0.96439,0.94087,0.95964,0.96081,0.96188,0.96586,0.97353,0.95194,0.94631,0.94797,0.90622,0.85902,0.78078,0.53895
Wheat II,2008/9,1,0,4,10,11.4191,0.52316,0.029346,0.10726,0.17675,0.24761,0.30254,0.35545,0.40409,0.4552,0.49865,0.53912,0.56003,0.58594,0.65295,0.70992,0.75665,0.78823,0.80634,0.82246,0.85661,0.86866,0.89389,0.89684,0.90952,0.89284,0.91156,0.92775,0.93703,0.93942,0.94489,0.952,0.93991,0.95174,0.94866,0.95652,0.97567,0.96579,0.97797,0.9813,0.98779,0.98152,0.9737,0.96352,0.95862,0.95032,0.94258,0.9248,0.9151,0.90073,0.8809,0.84672,0.48581
Wheat II,2008/9,1,0,5,10,12.9809,0.69673,0.0097929,0.11079,0.17081,0.23746,0.28636,0.33071,0.37918,0.41895,0.44957,0.50161,0.53427,0.5637,0.60339,0.61016,0.62924,0.66071,0.70837,0.75125,0.80044,0.81308,0.8384,0.85765,0.89173,0.90897,0.91682,0.93064,0.94341,0.95422,0.95247,0.96451,0.97318,0.9711,0.97121,0.98236,0.98298,0.97702,0.97035,0.96317,0.95586,0.95231,0.9457,0.9367,0.92182,0.91145,0.89422,0.87802,0.86329,0.8482,0.80049,0.76927,0.63553
Wheat II,2008/9,1,0,5,11,11.9843,0.62702,0.019437,0.10003,0.17052,0.2427,0.29686,0.34683,0.40433,0.45448,0.49518,0.52731,0.55256,0.58268,0.62214,0.63665,0.65391,0.68177,0.70376,0.75069,0.78552,0.81761,0.84924,0.86187,0.87763,0.90253,0.91385,0.92559,0.93837,0.95067,0.95329,0.96286,0.94753,0.97039,0.98845,0.98652,0.9777,0.98902,0.98214,0.98643,0.97946,0.96353,0.96962,0.95863,0.94114,0.9224,0.91221,0.90205,0.8959,0.88601,0.87323,0.82807,0.55315
Wheat II,2008/9,1,0,6,10,15.3959,0.82309,0.019737,0.10217,0.17617,0.25722,0.32108,0.3671,0.40677,0.44466,0.47717,0.52395,0.58144,0.6196,0.65428,0.67853,0.69836,0.74717,0.76822,0.78319,0.80635,0.84808,0.88453,0.91871,0.93955,0.95332,0.97769,0.97725,0.98048,0.98492,0.9879,0.98293,0.97632,0.97917,0.96219,0.96121,0.94986,0.95392,0.95086,0.94253,0.93064,0.92181,0.91631,0.88441,0.86353,0.85767,0.85827,0.84384,0.83222,0.80751,0.78099,0.74084,0.58743
Wheat II,2008/9,1,0,6,11,12.452,0.64712,0.037467,0.10441,0.1685,0.24806,0.30348,0.35962,0.41391,0.47287,0.50621,0.54269,0.57925,0.60941,0.63459,0.64284,0.66126,0.71146,0.75643,0.79276,0.81392,0.83359,0.85632,0.88705,0.89408,0.90355,0.91591,0.92081,0.93169,0.94732,0.95276,0.94971,0.97256,0.98716,0.9655,0.9763,0.98208,0.98978,0.98575,0.97614,0.95914,0.93191,0.93518,0.91949,0.9019,0.87881,0.85485,0.82515,0.80013,0.7879,0.772,0.77566,0.46726
Wheat II,2008/9,1,0,7,10,19.2669,0.95908,0.007424,0.10561,0.20995,0.27916,0.32965,0.38658,0.43571,0.48991,0.53315,0.57941,0.62041,0.64864,0.68571,0.72137,0.72305,0.7479,0.76415,0.78859,0.8145,0.84653,0.87414,0.87867,0.89746,0.92164,0.93117,0.94106,0.95975,0.96792,0.97142,0.97431,0.9833,0.98177,0.98559,0.98036,0.98065,0.98362,0.98228,0.9845,0.97429,0.9651,0.95128,0.94474,0.93486,0.92714,0.91521,0.90767,0.89575,0.88509,0.86062,0.82249,0.67208
Wheat II,2008/9,1,0,7,11,17.5454,0.90233,-0.0017715,0.12157,0.208,0.2762,0.33024,0.37264,0.4178,0.46602,0.50911,0.55493,0.6037,0.64441,0.6923,0.72606,0.74301,0.75075,0.76286,0.7922,0.83976,0.86461,0.89916,0.91076,0.93755,0.95642,0.97421,0.98271,0.98853,0.97867,0.97541,0.98479,0.98473,0.97585,0.97017,0.97471,0.97447,0.97758,0.97118,0.96337,0.95422,0.94154,0.94251,0.93972,0.92604,0.916,0.9052,0.89159,0.87046,0.8537,0.81748,0.77697,0.66884
Wheat II,2008/9,1,0,8,10,23.7826,1.1591,-0.020303,0.13114,0.22493,0.29399,0.35289,0.41812,0.48264,0.53376,0.55147,0.57961,0.60131,0.62182,0.63653,0.65664,0.66886,0.70477,0.75851,0.79059,0.82524,0.84957,0.8703,0.88337,0.89787,0.90994,0.92385,0.93169,0.95046,0.95806,0.96214,0.96928,0.9694,0.97046,0.96958,0.97139,0.97287,0.98245,0.98526,0.98552,0.98047,0.98051,0.97817,0.98585,0.97961,0.97426,0.9576,0.95916,0.93742,0.92883,0.9034,0.86606,0.73297
Wheat II,2008/9,1,0,8,11,21.866,1.0696,0.0044833,0.11812,0.21772,0.28751,0.34033,0.39486,0.454,0.50801,0.55223,0.59055,0.62298,0.64775,0.65832,0.67545,0.69195,0.68991,0.71584,0.76744,0.8117,0.85324,0.8672,0.87716,0.88647,0.90798,0.92607,0.92672,0.92975,0.93541,0.95339,0.9555,0.959,0.96763,0.97985,0.98061,0.98602,0.97596,0.97574,0.9741,0.97449,0.97449,0.96786,0.95917,0.94643,0.94473,0.94297,0.93076,0.91415,0.90103,0.87559,0.85047,0.76334
Wheat II,2008/9,1,0,9,10,28.6925,1.4208,-0.02769,0.15209,0.26478,0.34548,0.40189,0.44734,0.4861,0.51949,0.534,0.55297,0.57458,0.59442,0.65273,0.71015,0.75243,0.78718,0.81931,0.84325,0.86111,0.87942,0.89208,0.90134,0.91508,0.92655,0.94422,0.95187,0.96001,0.96632,0.96573,0.97013,0.97579,0.96454,0.96287,0.96833,0.96732,0.97112,0.96283,0.96246,0.97268,0.9698,0.98335,0.98683,0.9847,0.97759,0.96809,0.95525,0.9623,0.94438,0.91971,0.87907,0.73924
Wheat II,2008/9,1,0,9,11,25.2816,1.2176,0.017374,0.14491,0.25719,0.33973,0.40736,0.46384,0.49842,0.53731,0.55344,0.56475,0.5805,0.59193,0.61157,0.64398,0.68024,0.73668,0.78251,0.81659,0.84775,0.86788,0.89312,0.90611,0.92415,0.9267,0.94226,0.94365,0.93877,0.94845,0.96174,0.96608,0.97042,0.97582,0.97047,0.97359,0.96929,0.97456,0.97929,0.98478,0.98328,0.97904,0.97692,0.96207,0.96922,0.95046,0.95755,0.9519,0.93443,0.91665,0.88558,0.86383,0.77566
Wheat II,2008/9,1,0,10,10,24.67,1.7328,0.0018819,0.097456,0.18757,0.25573,0.31725,0.36807,0.39732,0.42235,0.45196,0.48623,0.51531,0.5434,0.58368,0.63008,0.66852,0.70439,0.73166,0.75571,0.78667,0.79224,0.80345,0.81595,0.84718,0.86534,0.88017,0.89878,0.91879,0.93038,0.9491,0.96508,0.97765,0.98384,0.98764,0.98474,0.99166,0.99136,0.98549,0.98275,0.97634,0.98261,0.9818,0.97323,0.97608,0.96513,0.94308,0.92554,0.91351,0.89098,0.85226,0.78043,0.62403
Wheat II,2008/9,1,0,10,11,27.5166,1.4027,0.0030835,0.13302,0.23875,0.31662,0.37454,0.42385,0.46484,0.49343,0.51422,0.5321,0.55615,0.58024,0.61045,0.64058,0.67311,0.69659,0.74497,0.77819,0.81659,0.85429,0.86997,0.89017,0.91044,0.92814,0.93566,0.95233,0.96468,0.97558,0.98064,0.98605,0.98816,0.9886,0.98959,0.98628,0.98146,0.9815,0.96862,0.96483,0.96281,0.96856,0.9724,0.96906,0.97488,0.96343,0.95913,0.95047,0.9343,0.91391,0.88757,0.83159,0.71603
Wheat II,2008/9,1,0,11,11,20.2803,1.6534,0.01049,0.095541,0.18738,0.25272,0.31243,0.36532,0.40767,0.44422,0.4835,0.50503,0.52385,0.54478,0.57082,0.60774,0.65337,0.69238,0.70292,0.72699,0.75815,0.79028,0.80992,0.83407,0.85488,0.87346,0.89181,0.90714,0.91386,0.91987,0.92864,0.94212,0.96622,0.97472,0.97381,0.97739,0.97664,0.98495,0.98748,0.98638,0.99229,0.99179,0.98686,0.98273,0.96867,0.94968,0.94852,0.94253,0.921,0.87153,0.8179,0.74643,0.58403
Wheat II,2008/9,2,0,2,9,7.7397,0.25566,-0.0022443,0.15712,0.28877,0.35648,0.46668,0.51042,0.58653,0.62309,0.64834,0.68591,0.7288,0.74603,0.7732,0.7971,0.7889,0.78883,0.78843,0.81309,0.82092,0.84325,0.85537,0.86322,0.87619,0.88561,0.88419,0.92849,0.93032,0.94708,0.96089,0.96382,0.96995,0.97368,0.97627,0.96655,0.98458,0.96829,0.96652,0.96652,0.96135,0.95686,0.96096,0.96792,0.96466,0.96848,0.95943,0.95306,0.96495,0.94242,0.9168,0.8719,0.63057
Wheat II,2008/9,2,0,2,10,7.2627,0.27449,-0.032649,0.2178,0.35227,0.44785,0.54098,0.60052,0.6451,0.67139,0.70417,0.711,0.72539,0.74572,0.76737,0.79159,0.80578,0.82774,0.83031,0.86129,0.86805,0.87451,0.90346,0.90986,0.91853,0.94542,0.95913,0.94814,0.93701,0.93462,0.92495,0.93637,0.90929,0.94667,0.94198,0.96569,0.93313,0.9234,0.92846,0.93236,0.91357,0.90056,0.90123,0.89392,0.90504,0.89788,0.88386,0.86093,0.87275,0.87327,0.85298,0.79495,0.62541
Wheat II,2008/9,2,0,3,9,11.0609,0.374,0.0094027,0.14981,0.23755,0.31645,0.36042,0.40631,0.4366,0.44712,0.48993,0.5326,0.57637,0.61746,0.66209,0.67355,0.7058,0.73684,0.76499,0.77772,0.77829,0.79156,0.81054,0.8279,0.83587,0.85542,0.87348,0.8945,0.89855,0.91776,0.92633,0.94113,0.95051,0.95304,0.97698,0.96008,0.96849,0.97018,0.97621,0.96946,0.96384,0.95348,0.95192,0.94264,0.9445,0.95874,0.95691,0.96612,0.96858,0.93708,0.92717,0.88029,0.70272
Wheat II,2008/9,2,0,3,10,9.6544,0.37305,0.028068,0.12096,0.19483,0.27693,0.31484,0.35091,0.39907,0.43605,0.48596,0.50077,0.52283,0.53288,0.60069,0.67117,0.69198,0.70231,0.73234,0.75542,0.79298,0.79396,0.82538,0.83827,0.8545,0.87314,0.88512,0.90267,0.91661,0.92722,0.92171,0.94326,0.93512,0.94952,0.95534,0.96512,0.97547,0.97655,0.95373,0.96296,0.95856,0.97097,0.95623,0.9564,0.97445,0.9709,0.96867,0.9609,0.94386,0.92524,0.90216,0.85588,0.57857
